id	original_sentence	auxiliary_sentence	label_id	label
3121	But the staff was so horrible to us.	what do you think of the price of it ?	4	none
3121	But the staff was so horrible to us.	what do you think of the anecdotes of it ?	4	none
3121	But the staff was so horrible to us.	what do you think of the food of it ?	4	none
3121	But the staff was so horrible to us.	what do you think of the ambience of it ?	4	none
3121	But the staff was so horrible to us.	what do you think of the service of it ?	2	negative
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	what do you think of the price of it ?	4	none
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	what do you think of the anecdotes of it ?	2	negative
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	what do you think of the food of it ?	0	positive
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	what do you think of the ambience of it ?	4	none
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	what do you think of the service of it ?	4	none
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	what do you think of the price of it ?	4	none
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	what do you think of the anecdotes of it ?	4	none
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	what do you think of the food of it ?	0	positive
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	what do you think of the ambience of it ?	4	none
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	what do you think of the service of it ?	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	what do you think of the price of it ?	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	what do you think of the anecdotes of it ?	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	what do you think of the food of it ?	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	what do you think of the ambience of it ?	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	what do you think of the service of it ?	0	positive
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	what do you think of the price of it ?	4	none
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	what do you think of the anecdotes of it ?	0	positive
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	what do you think of the food of it ?	4	none
