id	original_sentence	aspect	label_id	label
3121	But the staff was so horrible to us.	ambience	4	none
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	ambience	4	none
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	ambience	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	ambience	4	none
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	ambience	4	none
2846	Not only was the food outstanding, but the little 'perks' were great.	ambience	4	none
1571	It is very overpriced and not very tasty.	ambience	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	ambience	4	none
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	ambience	4	none
2391	Nevertheless the food itself is pretty good.	ambience	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	ambience	1	neutral
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	ambience	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	ambience	4	none
2200	The design and atmosphere is just as good.	ambience	0	positive
3195	He has visited Thailand and is quite expert on the cuisine.	ambience	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	ambience	4	none
3359	The pizza is the best if you like thin crusted pizza.	ambience	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	ambience	4	none
1829	He can't help, they're bought up so fast.	ambience	4	none
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	ambience	2	negative
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	ambience	4	none
2559	Obviously run by folks who know a pie.	ambience	4	none
716	We were very disappointed.	ambience	4	none
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	ambience	4	none
385	I really liked this place.	ambience	4	none
1350	I will be going back very soon.	ambience	4	none
3534	All the money went into the interior decoration, none of it went to the chefs.	ambience	0	positive
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	ambience	2	negative
565	I asked for seltzer with lime, no ice.	ambience	4	none
387	It was pretty inexpensive too.	ambience	4	none
1314	Will not be back.	ambience	4	none
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	ambience	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	ambience	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	ambience	0	positive
1210	This isn't a value joint.	ambience	4	none
2191	Faan's got a great concept but a little rough on the delivery.	ambience	4	none
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	ambience	0	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	ambience	4	none
500	Look foward to trying the Ruben upon returning.	ambience	4	none
1108	The only other steakhouse that seems to hold a candle to Roth's is the Strip House.	ambience	4	none
3294	We usually go to the Chart House to celebrate a birthday or anniversary.	ambience	4	none
388	this little place has a cute interior decor and affordable city prices.	ambience	0	positive
3070	You'll adore it.	ambience	4	none
3373	Two words: Free wine.	ambience	4	none
425	The price is reasonable although the service is poor.	ambience	4	none
3192	The quantity is also very good, you will come out satisfied.	ambience	4	none
1098	I have been to Roth's twice and both times were very disappointing.	ambience	4	none
2173	Worth visiting the 1st Ave spot because it is the original store.	ambience	4	none
391	I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.	ambience	4	none
263	Raga's is a romantic, cozy restaurant.	ambience	0	positive
2384	The fried rice is amazing here.	ambience	4	none
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	ambience	4	none
3404	it's a perfect place to have a amanzing indian food.	ambience	4	none
2599	The place is so cool and the service is prompt and curtious.	ambience	0	positive
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	ambience	4	none
648	I just wonder how you can have such a delicious meal for such little money.	ambience	4	none
863	The food was delicious but do not come here on a empty stomach.	ambience	4	none
1623	The wine list is excellent.	ambience	4	none
2177	so garantuan that you can't fit them in a toaster.	ambience	4	none
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	ambience	4	none
1101	They wouldnt even let me finish my glass of wine before offering another.	ambience	4	none
1823	I highly recommend the Sophia pizza.	ambience	4	none
324	Whem asked, we had to ask more detailed questions so that we knew what the specials were.	ambience	4	none
2783	This is a consistently great place to dine for lunch or dinner.	ambience	4	none
2983	Nice atmosphere, the service was very pleasant and the desert was good.	ambience	0	positive
66	All the people that I bring there go back on their own and bring THEIR friends!	ambience	4	none
627	After really enjoying ourselves at the bar we sat down at a table and had dinner.	ambience	4	none
3219	Fabulous service, fantastic food, and a chilled out atmosphere and environment.	ambience	0	positive
2934	Not what I wanted to hear.	ambience	4	none
2787	Try the lasagnette appetizer.	ambience	4	none
