id	original_sentence	aspect	label_id	label
3121	But the staff was so horrible to us.	anecdotes	4	none
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	anecdotes	2	negative
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	anecdotes	4	none
2534	Where Gabriela personaly greets you and recommends you what to eat.	anecdotes	4	none
583	For those that go once and don't enjoy it, all I can say is that they just don't get it.	anecdotes	0	positive
2846	Not only was the food outstanding, but the little 'perks' were great.	anecdotes	4	none
1571	It is very overpriced and not very tasty.	anecdotes	4	none
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	anecdotes	4	none
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	anecdotes	4	none
2391	Nevertheless the food itself is pretty good.	anecdotes	4	none
986	i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.	anecdotes	4	none
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	anecdotes	4	none
1793	It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!	anecdotes	4	none
2200	The design and atmosphere is just as good.	anecdotes	4	none
3195	He has visited Thailand and is quite expert on the cuisine.	anecdotes	4	none
3119	I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.	anecdotes	0	positive
3359	The pizza is the best if you like thin crusted pizza.	anecdotes	4	none
70	My Girlfriend and I stumbled onto this hopping place the other night and had a great time!	anecdotes	0	positive
1829	He can't help, they're bought up so fast.	anecdotes	1	neutral
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	anecdotes	4	none
1805	i have eaten here a handful of times, for no reason besides sheer convenience.	anecdotes	1	neutral
2559	Obviously run by folks who know a pie.	anecdotes	4	none
716	We were very disappointed.	anecdotes	2	negative
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	anecdotes	0	positive
385	I really liked this place.	anecdotes	0	positive
1350	I will be going back very soon.	anecdotes	0	positive
3534	All the money went into the interior decoration, none of it went to the chefs.	anecdotes	4	none
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	anecdotes	4	none
565	I asked for seltzer with lime, no ice.	anecdotes	4	none
387	It was pretty inexpensive too.	anecdotes	4	none
1314	Will not be back.	anecdotes	2	negative
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	anecdotes	4	none
2227	My suggestion is to eat family style because you'll want to try the other dishes.	anecdotes	4	none
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	anecdotes	4	none
1210	This isn't a value joint.	anecdotes	4	none
2191	Faan's got a great concept but a little rough on the delivery.	anecdotes	0	positive
