id	original_sentence	aspect	label_id	label
1000	The food is good, especially their more basic dishes, and the drinks are delicious.	food	0	positive
1001	This is a great place to take out-of-towners, and perfect for watching the sunset.	food	4	none
1002	The view is spectacular, and the food is great.	food	0	positive
1003	Wonderful strawberry daiquiries as well!	food	0	positive
1004	Definitely worth the trip to Battery Park City!	food	4	none
1005	One of my favorite places in Manhattan.	food	4	none
1006	I've been to several places for Dim Sum and this has got to be the WORST.	food	2	negative
1007	They don't walk around with the trays of Dim Sum.	food	4	none
1008	You order from a menu, so you leave feeling like you missed the full experience.	food	4	none
1009	The service was bad, the food took to forever to come, we sat on the upper level.	food	4	none
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	food	4	none
1010	And the bill was outragous.	food	4	none
1011	We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.	food	0	positive
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	food	0	positive
1013	By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.	food	0	positive
1014	The atmosphere is great!!!	food	4	none
1015	A cool place to hang with your friends for a couple of healthy drinks and desserts.	food	0	positive
1017	sometimes i get good food and ok service.	food	0	positive
1018	sometimes i get bad food and bad service, sometimes i get good good and bad service.	food	3	conflict
1019	it is not consistent.	food	4	none
102	Emilio, the owner, is often sitting in the front table greeting guests as they come and go.	food	4	none
1020	really depends on your luck!	food	4	none
1021	I usually go there later at night when I get off work so I don't have to deal with crowds or lines.	food	4	none
1022	The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.	food	0	positive
1023	They've the best desserts and mixed drinks as well as snack foods.	food	0	positive
1024	If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).	food	0	positive
1027	We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.	food	1	neutral
1028	What generous portions!	food	0	positive
1029	I found the variety of the sashimi plate to be satisfying - fresh and yummy.	food	0	positive
103	Going to Ballato's is like coming home and eating in my own kitchen, an absolute delight!	food	4	none
1030	As far as the service goes, the waitresses were not particularly friendly, but they got the job done.	food	4	none
1031	You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.	food	0	positive
1032	Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	food	0	positive
1033	Delivery is fast too.	food	4	none
1034	Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	food	0	positive
1035	A little overpriced but worth it once you take a bite.	food	0	positive
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	food	0	positive
1038	The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.	food	4	none
1039	The decor is really blah, and not at all hip or happening.	food	4	none
1040	So, for good food i'd recommend it, but not for a fun night out.	food	0	positive
1041	The people in the restaurant were pretty obnoxious and loud.	food	4	none
1044	Even after they overcharged me the last time I was there.	food	4	none
1045	Make sure you have the Spicy Scallop roll.. .	food	0	positive
1046	it's delicious!	food	0	positive
1047	Mizu is the Japenese find in Grammercy.	food	4	none
1049	Mizu is home to creative and unique rolls not to found anywhere else.	food	0	positive
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	food	0	positive
1051	Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!	food	4	none
1052	Good bagels and good cream cheese.	food	0	positive
1053	None of that yucky whipped stuff.	food	0	positive
