id	original_sentence	auxiliary_sentence	label
0	location - 2 , location - 1	what do you think of the general of location - 1 ?	None
0	location - 2 , location - 1	what do you think of the price of location - 1 ?	None
0	location - 2 , location - 1	what do you think of the safety of location - 1 ?	None
0	location - 2 , location - 1	what do you think of the transit location of location - 1 ?	None
1	there is a train from london bridge railway station to location - 1 but it is a direct one	what do you think of the general of location - 1 ?	None
1	there is a train from london bridge railway station to location - 1 but it is a direct one	what do you think of the price of location - 1 ?	None
1	there is a train from london bridge railway station to location - 1 but it is a direct one	what do you think of the safety of location - 1 ?	None
1	there is a train from london bridge railway station to location - 1 but it is a direct one	what do you think of the transit location of location - 1 ?	Positive
2	i have the chance to move to e16 1tx area , it is west location - 1	what do you think of the general of location - 1 ?	None
2	i have the chance to move to e16 1tx area , it is west location - 1	what do you think of the price of location - 1 ?	None
2	i have the chance to move to e16 1tx area , it is west location - 1	what do you think of the safety of location - 1 ?	None
2	i have the chance to move to e16 1tx area , it is west location - 1	what do you think of the transit location of location - 1 ?	None
3	parts of the areas i ' ve named are rough but location - 1 has great transport connections and it ' s fairly lively with a wide variety of nationalities hi , i ' m 22 years old and i ' m a girl with some problems in my country in the place where i live ( i ' m italian ) there are bad people , they caused me so many problems , i passed all my days closed at home because of the fear to go out it ' s so terrible my idea is to come in london to begin a new life with my boyfriend ( if he will agree with me about that i ' ve some doubts )	what do you think of the general of location - 1 ?	None
3	parts of the areas i ' ve named are rough but location - 1 has great transport connections and it ' s fairly lively with a wide variety of nationalities hi , i ' m 22 years old and i ' m a girl with some problems in my country in the place where i live ( i ' m italian ) there are bad people , they caused me so many problems , i passed all my days closed at home because of the fear to go out it ' s so terrible my idea is to come in london to begin a new life with my boyfriend ( if he will agree with me about that i ' ve some doubts )	what do you think of the price of location - 1 ?	None
3	parts of the areas i ' ve named are rough but location - 1 has great transport connections and it ' s fairly lively with a wide variety of nationalities hi , i ' m 22 years old and i ' m a girl with some problems in my country in the place where i live ( i ' m italian ) there are bad people , they caused me so many problems , i passed all my days closed at home because of the fear to go out it ' s so terrible my idea is to come in london to begin a new life with my boyfriend ( if he will agree with me about that i ' ve some doubts )	what do you think of the safety of location - 1 ?	None
