id	original_sentence	aspect	label_id	label
1430	    location - 1 is transforming and the prices will go up and up	safety	0	none
2013	  Along location - 1 there are lots of Electronics shops (independent ones)	safety	0	none
1244	  And location - 1 is ten mins direct on the tube to location - 2:  	safety	0	none
209	  Another option is location - 1 which is very central and has tons of clubs/bars within walking distance of each other	safety	0	none
2824	  Best bet is around location - 2 and location - 1 area in the northwest corner really nice 	safety	0	none
1835	  Central London based taxis mostly refuse fares to suburban areas like location - 1	safety	0	none
1429	  Don't go looking at places like location - 1  now that IS a rough area you really wouldn't want to live in	safety	2	negative
1404	  Down here in South London the accent [local] tends to be a bit more Kent, while the accent [local] in location - 1 tends to be a bit more Essex and Hertfordshire	safety	0	none
190	  Everyone in location - 1 is now black or Bangladeshi	safety	0	none
1281	  For gods sake don't move to location - 1 its horrible	safety	0	none
2476	  I also live in location - 1	safety	0	none
957	  I don't live in London but I know the gay part of London would be location - 1	safety	0	none
1744	  I dont like location - 1 at all	safety	0	none
1735	  I have friends living in location - 1 and love it	safety	0	none
575	  I have heard that location - 1 is the place to live in London 	safety	0	none
1191	  I liv in location - 1 in location - 2 which is a place where a lot of violence happens wiv gangs e	safety	2	negative
1696	  I live in location - 1 and I cant say I recommend it	safety	0	none
1210	  I live in location - 1, been here 11 years with no problems	safety	1	positive
508	  I live in location - 1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools	safety	0	none
949	  I lived in location - 1  for ten years it was rough , it was sooo close to the centre of town but so cheap	safety	2	negative
72	  I lived in location - 1 for 6 months and adored it	safety	0	none
995	  I lived in location - 1 from birth to 23 years very near to the Arsenal Stadium	safety	0	none
61	  I really like location - 1  I lived there for 3 months and had a lot of fun	safety	0	none
1218	  I really love location - 1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube	safety	0	none
1406	  I think location - 1 is your best bet 	safety	0	none
2549	  I was born in location - 2 I am a cockney,my father was born along the location - 1 	safety	0	none
51	  I would rather live in location - 1	safety	0	none
2623	  I would say either location - 1 or location - 2 if you have the money	safety	0	none
1477	  I would suggest location - 1 as a pretty good area	safety	0	none
2381	  I'd stay away from location - 1	safety	0	none
2147	  I've never lived in location - 1 but know it reasonably well and would say it's an OK place to live	safety	0	none
127	  If I had the money, I would live near location - 1  	safety	0	none
713	  If you are thinking South London, try location - 1	safety	0	none
771	  It does not make that much difference if you fly into Gatwick or location - 1	safety	0	none
