id	original_sentence	aspect	label_id	label
0	location - 2, location - 1	general	0	none
4	Sometimes I have called my sister at lunch time, and it's raining in location - 1, but not in location - 2	general	0	none
7	location - 2 When I was in London in the 1980's, the place to be was in the developing location - 1 area	general	0	none
8	Look at somewhere like location - 2 which is about half an hour from location - 1 so mabye if you have to travel at the other and and in Central London it may take an hour(without delays)	general	0	none
26	From location - 1 (at the Trafalgar Square end of the location - 2) you can cross the Thames on the Hungerford foot bridge and stroll along the banks; there's also the London Eye there, but you'd probably need more time to get tickets and take a flight on it	general	0	none
33	Then it's a journey between zones 2 and 3. If travel between location - 1 and location - 2(Z4)	general	0	none
52	Tube: Russel Square, location - 2, location - 1, Goodge Street Come and see our loot	general	0	none
55	 The London borough of location - 1 ( pronunciation ( helpinfo ) ) is a London borough of location - 2 , England and forms part of Outer London and is one of the 32 London Boroughs ( plus the London ) which forms part of Greater London	general	0	none
70	You have been sadly misinformed about location - 2 At the moment I live in location - 1	general	0	none
81	location - 2, location - 1, richmond	general	0	none
87	I've never been to location - 2, so don't know about that one  location - 1	general	0	none
90	location - 1 and richmond are probably your best bet location - 2 is not really considered to be a part of London - its address is Broley, Kent	general	0	none
92	 there are about a dozen properties within five miles of location - 1 - one of them in location - 2, as it happens	general	0	none
105	I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is location - 2 or location - 1	general	0	none
107	location - 1 is great too , and the area around liverpool road side would n't be too far from location - 2	general	0	none
124	hi there i guess it depends in your area, i live in southeast London, there is something called adult education, ie location - 1 adult education or location - 2 adult education and there are lots of others maybe your area has one	general	0	none
134	I lived for a while in location - 1/location - 2 in the south-east for a while	general	0	none
141	Still in Greater London area  West London - location - 1 or location - 2	general	0	none
157	location - 1 on a direct line to location - 2 is n't bad	general	0	none
165	location - 2 to be precise and have lived in location - 1 for most of my 49 years	general	0	none
168	The area to the east of Upper Street around the location - 2 location - 1	general	0	none
172	It 's similar to LB location - 2 on the opposite side To be honest location - 1 is n't the safest place in the world but it does n't get any nicer down South	general	0	none
174	(I'm an location - 2 boy meself, and we had NOTHIN' like that down there), so yah, location - 1 all the way, cck	general	0	none
175	I was on a train once, going from location - 1 to location - 2 Junction, it was PACKED and they were still trying to cram theirselves in	general	0	none
176	plus at location - 1 you have the jubliee line that takes you to location - 2	general	0	none
181	If you have time walk along the location - 2 under location - 1 Bridge to see Shakespeare's Globe 	general	0	none
184	location - 2 is on the picadilly so you could always go north towards location - 1 and arsenal	general	0	none
194	location - 1 / location - 2	general	0	none
198	wembley is only just up the road from location - 1 but is a peaceful hamlet in comparison  Of those, I'd say location - 2 because theres a lot of crime in that area (although recent police figures will say otherwise which is a load of rubbish)	general	0	none
207	Another nice little town close to location - 2 is location - 1	general	0	none
225	See listings at  After the trains stop running you can catch the N87 night bus from Trafalgar Square (location - 2) in central London to location - 1	general	0	none
232	location - 1 (Location-North West) - cheap location - 2 Rd (Location-North West) - Fairly central suburb, with the O2 Shopping Centre	general	0	none
238	location - 1 is a major tube stop and an easy journey to location - 2	general	0	none
255	i need to get their at 3pm, the problem is that i have to go by public transport as i dont have a car and i live in location - 1 in location - 2, which is an area just nearby wembley	general	0	none
257	You may not actually have to change at location - 1 as the train may be going to location - 2 Rd already	general	0	none
260	Direct train services run to Reading and London location - 1 and you can get to Windsor easily by changing at location - 2	general	0	none
268	If that IS the case, was it Upper or location - 2 which used to be location - 1	general	0	none
278	there is also location - 2 in location - 1 which has a lot of financial services too	general	0	none
282	location - 1 (LHR) is the only London airport with services from the NY/NJ airports - location - 2 (STN) and Luton (LTN) don't handle any North American destinations, Gatwick (LGW) has flights from Atlanta, Calgary, Charlotte, Minneapolis, Orlando, Toronto, and Vancouver	general	0	none
284	Probably the widest is the road between location - 2 and location - 1 corner, called Park Lane	general	0	none
288	"location - 1  location - 2 ""nice"""	general	0	none
295	Anywhere around location - 1 and location - 2, for example, can command extortionate rent	general	0	none
301	Don't live in the east end Going to the location - 2 match on Saturday to see Sheff Wed's, we don't like drinking too near the ground so are looking at going to location - 1 for a session	general	0	none
305	Yes, location - 1 is in Kent and it is part of the London metropolitan area  London borough in Greater London POSTAL address ONLY KENT NOT KENT proper no more than location - 2 is in SURREY proper  Exists in Greater Manchester too Wigan and Bolton,Bury etc put Lancashire in postal addresses and Stockport and Altrincham etc put Cheshire, but they are ALL Greater Manchester  (Metropolitan Boroughs of Wigan, Bolton, Bury Stockport, Trafford ) NONE are parts of the ADMINISTRATIVE COUNTIES with those names I have to disagree with another answerer	general	0	none
326	A great place location - 1 Middx is not in London and is only a postal name as location - 2 is now Surrey -	general	0	none
334	North West: location - 1 location - 2 wembley   x	general	0	none
341	What you are asking for doesn't exist  London is expensive, location - 1 especially so if you are choosing between only those two areas in London, then i would recommend location - 2, it is better in my opinion, hence it is more expensive i think	general	0	none
343	location - 1 is the most depressing bit and there are some very big estates towards location - 2	general	0	none
345	location - 1, location - 2  I am wondering if you think you know me	general	0	none
347	location - 1 is an up and coming place,quite expensive and is not in the rough part of the location - 2 	general	0	none
352	I stayed at the one in location - 1 because it was on the tube line from location - 2 	general	0	none
353	There are loads of parks, Bishops Parks, location - 1 Palace Gardens, Eel Brook Common, Parsons Green, location - 2 and Hurlingham Park	general	0	none
359	location - 2 got the location - 1 there which is great for shopping	general	0	none
366	location - 1 is probably the roughest area of location - 2	general	0	none
372	go to location - 1 I think that great care has been taken in location - 2 to preserve parks and green areas	general	0	none
375	Another option may be, location - 2 which is located in location - 1 and is an area with a real village feel to it	general	0	none
377	From North location - 1 to location - 2 (also the London) it's 16 minutes by train	general	0	none
392	ENJOY YOUR STAY AND ENJOY location - 2 AND location - 1	general	0	none
397	I would prob have to say that location - 1 is nicer - location - 2 is too boxy 	general	0	none
403	I was thinking about going to find a flat to share in the location - 2, location - 1t	general	0	none
409	location - 1 is more leafy suburb - very nice and possibly a bit cheaper then location - 2 but only about 10 mins away by train	general	0	none
