predicted_label,positive,neutral,negative,conflict,none
4,0.003651349,0.003032624,0.0021389422,0.0019869988,0.9891903
0,0.9110183,0.051581476,0.016102077,0.007769139,0.013528952
4,0.002743153,0.0025334088,0.0018270743,0.0015139119,0.99138224
0,0.42458028,0.086145885,0.40983388,0.064208984,0.015231014
4,0.007060917,0.030794002,0.09644795,0.009631219,0.8560659
4,0.0020906436,0.0053875055,0.008462606,0.002551312,0.9815077
4,0.0021315415,0.0030947784,0.0024464803,0.0016801597,0.990647
2,0.05787442,0.11778059,0.7572532,0.049400657,0.017691115
0,0.95455456,0.02019962,0.0082701305,0.009955025,0.0070204725
4,0.0037142192,0.0042468677,0.004126629,0.0017133927,0.9861987
0,0.9662548,0.008005533,0.009554126,0.009795824,0.0063896254
4,0.0057997745,0.03308146,0.007305349,0.0030832596,0.9507302
4,0.002614051,0.002930534,0.0019501247,0.001486672,0.9910188
4,0.0058357045,0.0077756844,0.003921497,0.0015557546,0.98091143
4,0.19177029,0.3003939,0.028780002,0.026630156,0.4524256
4,0.0032735695,0.0029940777,0.0018059027,0.0015984197,0.9903282
4,0.003672574,0.0025056973,0.0018176294,0.0013844519,0.9906196
4,0.0025848213,0.003353176,0.0020909407,0.0014560947,0.9905152
1,0.051639896,0.71807545,0.1878086,0.032556567,0.009919435
4,0.015637327,0.021348575,0.00446045,0.002703433,0.9558501
4,0.008725662,0.0030314992,0.0023629118,0.0018965256,0.9839834
0,0.86350614,0.048083793,0.03941763,0.026829794,0.02216279
4,0.032211185,0.014368673,0.004411039,0.0021971043,0.9468119
4,0.059659105,0.0058058784,0.0038021253,0.0041761245,0.9265569
1,0.2598099,0.5618542,0.07367377,0.027040843,0.07762126
4,0.0029063725,0.0030332908,0.0018588221,0.001697262,0.9905043
0,0.40358913,0.32016644,0.11733302,0.030886132,0.12802523
2,0.023086527,0.14438333,0.7187086,0.03303963,0.080782026
4,0.18360627,0.060674734,0.006642417,0.0075722504,0.7415044
4,0.19428773,0.038779594,0.24718072,0.0510684,0.46868357
1,0.023563983,0.47888824,0.043808695,0.012895224,0.44084382
4,0.34218886,0.008311847,0.0073092515,0.011304322,0.63088584
0,0.93962526,0.013987939,0.013280723,0.0092001,0.023906065
0,0.8324588,0.06672805,0.008579547,0.008968452,0.08326515
4,0.0023497546,0.002603593,0.0020136677,0.0014335659,0.99159926
1,0.014162275,0.7251911,0.09686407,0.016568877,0.14721368
4,0.0026112543,0.0026720327,0.0018623016,0.0015711883,0.99128294
4,0.0038217744,0.010572248,0.009096415,0.002387524,0.97412205
4,0.42802835,0.07162488,0.014161917,0.01296103,0.47322387
4,0.008270706,0.06692897,0.065676294,0.008871917,0.85025203
4,0.003663484,0.028669283,0.05167375,0.007268584,0.90872484
4,0.004728122,0.011554382,0.037911817,0.005419522,0.9403861
2,0.103738956,0.2159983,0.5905674,0.07632394,0.013371437
0,0.83535504,0.012911444,0.011023828,0.009986114,0.1307236
4,0.003901903,0.0037170968,0.0019455374,0.0018927304,0.98854285
4,0.0038136502,0.0025793372,0.0017575963,0.001536769,0.9903126
4,0.0025637352,0.0034739857,0.0022398997,0.001520541,0.99020165
4,0.002138972,0.004739165,0.0027086255,0.0017460969,0.98866683
4,0.0031115506,0.0027467369,0.0017107917,0.0016260224,0.9908048
4,0.009897989,0.005628595,0.0037830174,0.0017668917,0.9789235
4,0.0020834801,0.004961948,0.0058152853,0.0026465957,0.9844927
0,0.9084264,0.011879715,0.009247496,0.01084756,0.05959891
1,0.015951838,0.6572545,0.1348275,0.018945174,0.17302111
4,0.0018722741,0.0044982256,0.0032968072,0.001903706,0.9884288
4,0.003556771,0.0033528898,0.0020284995,0.0015482489,0.98951346
1,0.03361798,0.9178131,0.025196882,0.015562488,0.0078095426
4,0.023908466,0.0077067465,0.0025997148,0.0020256662,0.9637594
4,0.0024049385,0.0031359263,0.0017930499,0.0015244927,0.99114174
4,0.004733293,0.0065372596,0.015636709,0.0028642488,0.97022855
0,0.6610206,0.28933412,0.02015812,0.020457773,0.009029454
4,0.0021898863,0.004546867,0.0067720967,0.0023336275,0.98415744
4,0.008239751,0.046025738,0.108509116,0.010119035,0.82710636
4,0.0027438516,0.0028515584,0.0017587532,0.0015310303,0.99111474
4,0.021746928,0.05255639,0.12849124,0.0122706955,0.7849349
2,0.06425508,0.31164232,0.4850974,0.037019096,0.10198594
0,0.83399844,0.101050414,0.035208374,0.018352898,0.01138993
4,0.004542809,0.012939153,0.0034780896,0.0022252472,0.97681475
4,0.002327603,0.0032418682,0.0020593554,0.0017482389,0.99062294
4,0.0018997677,0.0044778734,0.0035189206,0.0017206401,0.98838264
4,0.0056218924,0.0057884385,0.004199436,0.0016608655,0.9827291
2,0.17520157,0.10556569,0.5844174,0.10143215,0.03338329
0,0.958159,0.01715542,0.009394498,0.0078887055,0.007402481
0,0.80549127,0.12192831,0.015103048,0.008174961,0.049302362
4,0.0033471182,0.0031864024,0.0023325896,0.0015134834,0.98962057
4,0.0026071907,0.003953547,0.0027306208,0.0017407043,0.98896825
0,0.5949949,0.016365461,0.027754985,0.009650771,0.35123396
4,0.0069491407,0.034783453,0.024874644,0.004863104,0.92852974
4,0.01677827,0.09954133,0.19927442,0.014565241,0.6698407
4,0.0024825728,0.002709938,0.0019533727,0.0014896409,0.9913643
4,0.0017693789,0.0055026887,0.0052498463,0.0022187491,0.98525906
0,0.8409204,0.070657246,0.046702288,0.03179861,0.009921427
4,0.0037306754,0.003184748,0.0020758524,0.0014673983,0.9895413
0,0.55355537,0.044910572,0.009493808,0.0073222285,0.38471818
0,0.41760138,0.2567646,0.017962383,0.02046873,0.28720286
4,0.0027555078,0.0027649337,0.0020091878,0.0018276597,0.9906427
4,0.002425286,0.0038354904,0.0024477416,0.0015684912,0.989723
4,0.002702402,0.0032708563,0.0019835834,0.0017755893,0.99026775
4,0.0024726267,0.0034075873,0.0021620793,0.0017384951,0.99021906
4,0.010206251,0.0050732875,0.00455499,0.002071313,0.97809416
4,0.0025261326,0.0050229575,0.0047002984,0.0024999974,0.98525065
4,0.005510605,0.00313231,0.002001867,0.0013925724,0.98796284
4,0.018862262,0.00928342,0.0038721825,0.0017785992,0.9662036
4,0.0021483577,0.0028051266,0.0033742257,0.0016291603,0.99004304
4,0.0028019035,0.008135623,0.005017499,0.0022100832,0.98183495
4,0.0024125017,0.003130087,0.0022389337,0.0015419651,0.99067676
4,0.0060654855,0.03183993,0.05583812,0.008094478,0.89816207
1,0.35283947,0.35342613,0.13430059,0.052585952,0.10684792
0,0.9114445,0.015672838,0.024221445,0.012862724,0.035798695
4,0.002328187,0.003155652,0.002355551,0.0017271842,0.99043345
0,0.85315734,0.024382185,0.03435741,0.02483641,0.0632668
1,0.42660752,0.49799356,0.035288483,0.03477045,0.0053400304
4,0.0024741918,0.002811025,0.002114869,0.0018330753,0.990767
4,0.005176574,0.009470135,0.017923053,0.0033415335,0.9640887
4,0.0019951726,0.0032912013,0.0025384128,0.0015107052,0.9906644
4,0.0037136262,0.002798308,0.0020629985,0.0015489098,0.9898759
4,0.019783659,0.07168743,0.19333021,0.020432342,0.69476634
4,0.0028011058,0.004629466,0.0024425406,0.0015120852,0.98861504
4,0.0031270508,0.0029651644,0.0018057097,0.001472746,0.9906295
4,0.0023133527,0.0030205576,0.0020741695,0.0014320513,0.9911597
4,0.0031314108,0.004957826,0.0025930074,0.001840128,0.9874778
4,0.0022280354,0.002767564,0.0023164542,0.0016563188,0.9910316
4,0.0038810554,0.0025865647,0.0018994941,0.0016076987,0.99002504
0,0.9473305,0.016977033,0.007524092,0.008638199,0.019529937
4,0.00444762,0.006210281,0.0033583588,0.0015097222,0.98447394
4,0.0028235384,0.0031471406,0.0019876556,0.0018403208,0.99020165
4,0.0046387557,0.014146379,0.009847109,0.002552821,0.9688148
4,0.002481084,0.00273523,0.001950295,0.0014918104,0.9913417
4,0.0025293785,0.0065686223,0.0076694633,0.0025261748,0.98070645
4,0.0018536178,0.006509333,0.005508015,0.0021839985,0.98394495
4,0.019323722,0.10408836,0.41646534,0.022980573,0.43714198
4,0.0030531536,0.005976952,0.009899579,0.0025467454,0.97852355
2,0.04442412,0.18431763,0.5953865,0.026871085,0.14900075
0,0.90040654,0.056749485,0.007976976,0.006970667,0.027896296
4,0.0020895165,0.003715132,0.0019172826,0.0014268722,0.99085104
4,0.0025510807,0.003501351,0.003039679,0.0015745139,0.9893332
4,0.0054949694,0.0030198675,0.001796276,0.00144491,0.9882441
4,0.0028729918,0.0035794575,0.0018801414,0.0016143658,0.99005294
4,0.004814544,0.002272506,0.001915318,0.0016353829,0.9893625
2,0.082869746,0.08220803,0.6633727,0.13957027,0.031979345
4,0.0022555706,0.0038983063,0.0060526286,0.0019668748,0.9858268
4,0.0068897093,0.011930307,0.005736933,0.0020524617,0.9733906
4,0.012024583,0.03921681,0.012743441,0.005246863,0.9307683
1,0.03134514,0.41688243,0.28671375,0.027455635,0.23760301
4,0.007883802,0.0329279,0.07410517,0.008171427,0.8769116
4,0.0022442522,0.003165419,0.0024887505,0.00168036,0.99042124
1,0.060663942,0.8865954,0.029154215,0.0119777955,0.011608819
4,0.0025807878,0.0030621188,0.0018832596,0.0015404902,0.99093324
4,0.0032147937,0.0027307298,0.001873418,0.0017679544,0.9904132
4,0.0025892116,0.0027153096,0.0021071353,0.0016530721,0.9909352
4,0.0021013918,0.0036823868,0.0023311542,0.0015391003,0.99034613
4,0.0035137262,0.0029851224,0.0016309572,0.0015200048,0.9903504
4,0.004829503,0.0039197365,0.0019816328,0.0015529944,0.987716
0,0.94818604,0.025271347,0.011450638,0.008510982,0.0065810215
4,0.0025088286,0.002982109,0.002147786,0.0017140987,0.990647
4,0.0029226467,0.013635894,0.0072971256,0.0025314912,0.97361284
2,0.019065376,0.094772786,0.8188182,0.035002798,0.032340772
4,0.0027225688,0.0059372135,0.010218649,0.0027382548,0.9783833
4,0.009344762,0.009061552,0.005322271,0.0025564,0.97371507
4,0.007628883,0.019666305,0.08230816,0.0074082124,0.88298833
4,0.0035281884,0.0029956899,0.0021089285,0.0014762052,0.989891
4,0.03318807,0.13057294,0.029834775,0.010588578,0.7958155
4,0.0022089812,0.0030229697,0.002112038,0.001776569,0.9908794
0,0.58511096,0.36423808,0.023334768,0.021740796,0.0055754534
0,0.94714016,0.0077278833,0.006660905,0.005869646,0.0326014
4,0.0025226322,0.0030091791,0.0020111487,0.001384221,0.99107265
4,0.0024289456,0.002847804,0.0017716871,0.0014822945,0.9914692
4,0.0046155863,0.0027271346,0.0018204041,0.0016023034,0.9892346
4,0.010642757,0.004471628,0.0021429881,0.0021110594,0.98063165
4,0.003702762,0.0032119863,0.0019546798,0.0012702823,0.9898603
4,0.0069604428,0.0040855478,0.0023830733,0.0019597374,0.98461145
4,0.0034864252,0.0024846392,0.0018715797,0.0014747095,0.9906824
4,0.0025185312,0.0046235826,0.005835521,0.0025555138,0.98446685
4,0.002399781,0.004924578,0.010420362,0.0026422995,0.97961295
4,0.0022115654,0.0037683821,0.002075385,0.0016121013,0.9903324
4,0.0022063612,0.0039068945,0.004715874,0.0018419065,0.9873289
4,0.0018727812,0.0046233726,0.0057130414,0.0019653214,0.9858254
4,0.0027098693,0.002760218,0.0017452529,0.0015040471,0.9912807
4,0.014923705,0.05308,0.039830394,0.005733487,0.88643247
4,0.012157765,0.010052206,0.0034168828,0.002409887,0.9719634
4,0.0025884649,0.004612288,0.0025286297,0.001652637,0.98861784
4,0.015708692,0.004843666,0.0048083034,0.0020253554,0.97261405
4,0.0036977,0.0031317302,0.0022346855,0.0014796238,0.9894564
0,0.957923,0.005812322,0.008117933,0.008233184,0.019913593
4,0.00420395,0.011241633,0.005406626,0.0025506965,0.976597
2,0.035349216,0.11532035,0.7491927,0.03862203,0.061515596
4,0.025593797,0.43793103,0.07340439,0.013076683,0.44999406
4,0.003417414,0.0219171,0.015342049,0.0053449166,0.95397854
4,0.0061878534,0.004918108,0.0029798844,0.0028681613,0.983046
4,0.0024568834,0.0029666056,0.0021861503,0.0015070062,0.9908832
4,0.009752488,0.15227218,0.059811994,0.0111736925,0.76698947
4,0.011264745,0.14542182,0.10656747,0.012128489,0.7246174
4,0.0074964245,0.0025277978,0.0019042382,0.0016497672,0.98642164
1,0.035487235,0.9156554,0.027911704,0.015587583,0.005358061
1,0.029819919,0.9285418,0.020796634,0.015959691,0.0048819254
4,0.0021168827,0.003839595,0.002825537,0.0015750859,0.9896428
4,0.0066108983,0.054531004,0.14427045,0.016996311,0.7775913
4,0.00313895,0.005139837,0.01042676,0.0021576055,0.9791368
4,0.017770818,0.0073737977,0.0039291736,0.0019442036,0.96898204
0,0.95557827,0.016272115,0.012620873,0.0069255424,0.008603077
4,0.004894613,0.0049019093,0.0029022153,0.0014505307,0.98585075
4,0.0029681989,0.0028829838,0.0018925217,0.0016879522,0.9905681
4,0.030799303,0.004301383,0.0027295921,0.0022045649,0.9599652
4,0.06569219,0.009971982,0.0050463425,0.003401621,0.9158879
1,0.024955543,0.94047886,0.014699838,0.012277672,0.0075880815
1,0.017328013,0.9307938,0.028312635,0.014669359,0.008896186
4,0.003507763,0.0024086935,0.0019389486,0.0015361053,0.9906083
4,0.0027254343,0.0032306525,0.002078608,0.0014843034,0.9904807
4,0.002019991,0.0038395768,0.0022337327,0.0015713599,0.9903353
4,0.0018269157,0.003912525,0.0032978652,0.0017224478,0.98924035
4,0.017976351,0.008624921,0.005704768,0.0032982945,0.9643957
1,0.021544298,0.932696,0.02025088,0.018476048,0.007032812
4,0.0032553885,0.0030323726,0.0018992734,0.0016096978,0.990203
4,0.0029009772,0.0028055494,0.0018859529,0.0016949303,0.9907126
4,0.003717703,0.0033415589,0.0028966768,0.0016395133,0.9884043
0,0.9628629,0.009203773,0.009412051,0.009458938,0.009062183
1,0.19958648,0.58612335,0.15739994,0.045072615,0.011817787
4,0.002593435,0.0027473879,0.00198683,0.0016074358,0.99106467
4,0.003809486,0.0025237056,0.0018091357,0.0013340226,0.9905237
4,0.0021989408,0.0031157348,0.0019597749,0.0014505493,0.991275
4,0.007996978,0.0059357076,0.0026850065,0.0015341471,0.98184806
4,0.0024441238,0.0037831056,0.0034520533,0.0018566474,0.9884642
4,0.032022595,0.38525906,0.14274341,0.020151604,0.4198233
1,0.019948732,0.5586465,0.15098955,0.028356194,0.24205913
4,0.010254056,0.003021374,0.002334578,0.0014754741,0.9829143
4,0.002187173,0.0038042727,0.0022226109,0.0019204979,0.9898654
4,0.0064773117,0.012450946,0.0041970937,0.0022302356,0.9746446
4,0.0021231007,0.0030506097,0.0021030519,0.0015129306,0.99121016
4,0.002892052,0.013049301,0.020846993,0.0036514224,0.95956016
4,0.010700074,0.06219956,0.058444858,0.0066351546,0.86202043
4,0.0031440866,0.012580755,0.0064741997,0.0019292727,0.9758718
4,0.006747516,0.015576907,0.008131291,0.0028540017,0.9666903
4,0.0060466453,0.0033880963,0.0018939194,0.0017762844,0.98689497
4,0.0054459637,0.004030451,0.002328016,0.0020313123,0.98616445
4,0.005514209,0.003020742,0.0020148663,0.001394318,0.98805606
4,0.0030004145,0.0028187695,0.0017636897,0.0014415456,0.9909753
4,0.0022885262,0.0031744111,0.002001129,0.0016867414,0.9908492
4,0.0028169584,0.003111021,0.0016811814,0.0014230136,0.9909678
4,0.0026799669,0.0029882495,0.001815663,0.0015587299,0.9909573
4,0.009825505,0.035182144,0.031958297,0.0050122216,0.91802186
4,0.0027164377,0.002782315,0.0019104782,0.0013732838,0.9912174
4,0.0025864353,0.003004902,0.0019514996,0.0014544773,0.99100274
4,0.0026231825,0.002922899,0.0020409464,0.0015489873,0.99086386
4,0.0019038813,0.0039846464,0.0027882052,0.001990859,0.9893323
4,0.019541552,0.05920782,0.17749542,0.014662212,0.7290931
4,0.0019023739,0.0034102043,0.0025941636,0.0017759146,0.99031734
4,0.0022647022,0.003523654,0.0021554613,0.0016551454,0.99040085
4,0.021927128,0.07196264,0.0866642,0.010114288,0.8093318
2,0.020492077,0.044777572,0.8665558,0.03785603,0.030318594
4,0.0022256654,0.0030817722,0.004928144,0.0018130227,0.9879515
0,0.68183064,0.026476748,0.12666409,0.023012273,0.14201625
4,0.0018886076,0.0036267405,0.0029252344,0.00142123,0.9901384
4,0.00294159,0.008142089,0.008708532,0.002253036,0.97795475
4,0.0024344046,0.0043723714,0.005399119,0.002210547,0.98558336
0,0.93625855,0.03181809,0.010154116,0.009818766,0.011950645
1,0.02837209,0.93502134,0.016870694,0.014717647,0.005018284
4,0.005028565,0.0030885378,0.0018118869,0.0014367412,0.98863435
4,0.017424963,0.114389725,0.05341431,0.009223842,0.8055472
4,0.008279419,0.0067164865,0.0025000572,0.0017369408,0.98076725
4,0.0025284295,0.005429392,0.009356261,0.002412221,0.98027366
4,0.0034003821,0.007886328,0.003341094,0.001774709,0.98359734
4,0.0019618748,0.003879037,0.0037110362,0.0016050079,0.98884314
4,0.003029287,0.0032531985,0.001974396,0.0015095192,0.99023366
4,0.003831025,0.009039125,0.018983992,0.0037090513,0.9644367
4,0.0072251842,0.002815614,0.0019568016,0.0017149294,0.98628765
0,0.94318,0.012307866,0.010921145,0.0064330986,0.027157934
1,0.11806661,0.79852575,0.025579294,0.03494937,0.022878772
4,0.002703201,0.009130241,0.004117986,0.0019127196,0.98213613
4,0.0027986364,0.002784019,0.0017716043,0.0016210151,0.99102443
4,0.003878813,0.0028820054,0.0020893184,0.00137843,0.9897716
0,0.90849304,0.005919514,0.008055143,0.008133656,0.069398664
4,0.0030005933,0.002928658,0.0016415456,0.0014645321,0.99096453
0,0.8863836,0.005682016,0.010226731,0.009203185,0.08850436
0,0.95902294,0.0048472704,0.007541955,0.008147223,0.020440606
4,0.015640961,0.037218243,0.010263605,0.0040890267,0.9327881
4,0.0022996499,0.0032240702,0.0021384223,0.0017391345,0.99059886
0,0.967334,0.0059595755,0.00880212,0.009625728,0.008278471
1,0.016571572,0.9325864,0.026007924,0.013571125,0.011262967
4,0.001857316,0.0045436104,0.005573199,0.0020800615,0.9859457
1,0.027077757,0.44428998,0.3608204,0.027583985,0.14022796
1,0.024312407,0.9376563,0.017452646,0.013965345,0.006613347
4,0.004664641,0.0025430333,0.0019821397,0.0014304821,0.98937947
4,0.005593604,0.0068115946,0.006004599,0.001864741,0.97972536
4,0.0031346302,0.0056358865,0.0048887115,0.0019223026,0.9844185
1,0.24105561,0.5477463,0.049848784,0.020268926,0.14108026
4,0.0025697423,0.0028518536,0.0022258128,0.0015791198,0.99077356
4,0.0032026449,0.004651434,0.0025293292,0.0013934964,0.9882229
4,0.0032986156,0.0068456274,0.0026462346,0.0027132155,0.9844964
0,0.8455573,0.008277026,0.01102723,0.013913421,0.12122502
4,0.00457354,0.003989696,0.004090948,0.001538878,0.985807
4,0.0024630125,0.0031901046,0.0017298177,0.0015663439,0.9910505
0,0.92001516,0.02759894,0.027964205,0.019550743,0.0048710243
0,0.933821,0.021909062,0.0072018225,0.0065355767,0.03053252
4,0.0030427969,0.0025922332,0.0017620369,0.0014580187,0.9911451
4,0.0033829254,0.0025726983,0.0017820576,0.0015891829,0.99067295
1,0.017753396,0.8035432,0.13655409,0.014246024,0.027903255
4,0.007750727,0.012760211,0.050299868,0.0056114146,0.92357785
