predicted_label,None,Positive,Negative
0,0.99789035,0.0010270115,0.0010826914
0,0.99795544,0.0010251729,0.0010192714
0,0.99777377,0.0010896554,0.0011364573
0,0.997887,0.0011775559,0.000935602
0,0.998282,0.00088786794,0.00083030015
0,0.99749976,0.0009723068,0.0015280334
0,0.9968179,0.001129234,0.0020527209
1,0.043813374,0.87704897,0.07913771
0,0.9982782,0.00089353364,0.0008281787
1,0.073505454,0.83629733,0.09019713
0,0.99803925,0.00088339526,0.001077464
0,0.9977476,0.0012655399,0.0009867946
0,0.9980331,0.0010482613,0.00091848715
0,0.9980412,0.0009984833,0.0009605172
0,0.9981297,0.0009800701,0.00089030893
1,0.02102107,0.64664763,0.33233133
0,0.99792844,0.0010652037,0.0010062967
1,0.042949,0.82832044,0.1287307
0,0.99809253,0.0010125401,0.00089512725
0,0.99796975,0.001114909,0.0009153802
0,0.9976605,0.0012538173,0.0010857594
0,0.99815726,0.0009793773,0.00086334674
0,0.99814063,0.0009602348,0.00089914806
0,0.9976406,0.0012704463,0.0010889061
0,0.99806595,0.0010054698,0.0009286464
0,0.9971934,0.0015455921,0.0012609259
0,0.99806976,0.0010446039,0.0008858527
0,0.99827915,0.0008401324,0.00088050746
0,0.9977248,0.0012709324,0.0010042825
0,0.9979222,0.0011478233,0.0009298978
0,0.99751586,0.0013095714,0.0011745228
0,0.9978756,0.0009737056,0.0011508298
0,0.99799174,0.0009070985,0.0011013241
0,0.99790215,0.0010904113,0.0010073602
0,0.9975816,0.0013238639,0.0010944984
0,0.99752784,0.0013106522,0.0011613301
0,0.9977966,0.0012059535,0.0009973247
0,0.9979536,0.001077241,0.0009691218
0,0.99808687,0.001085252,0.0008278799
0,0.9975358,0.0013686358,0.0010953828
0,0.9979845,0.0011239083,0.0008914075
0,0.99791694,0.0011762753,0.00090695574
0,0.99786174,0.001128589,0.0010095915
0,0.99779564,0.0011557561,0.0010486272
0,0.9980721,0.001110126,0.00081761705
0,0.9979298,0.0010360092,0.0010342401
0,0.99742407,0.0011259016,0.0014497204
0,0.99802923,0.001059906,0.00091073825
0,0.99782705,0.0010970619,0.0010759536
0,0.9980174,0.001026108,0.0009562805
0,0.99773186,0.00125368,0.001014151
0,0.9981672,0.0009801098,0.00085242465
0,0.9959437,0.0015144232,0.0025416259
0,0.997671,0.0013592121,0.00096984656
0,0.9975705,0.0012224879,0.0012066842
0,0.99793077,0.0010755934,0.0009937747
0,0.9981012,0.0010718436,0.00082719483
0,0.99809545,0.0010334336,0.0008712294
0,0.6673553,0.27767932,0.054965418
0,0.99753827,0.0012281097,0.0012334951
0,0.99733037,0.0015252163,0.0011441839
0,0.99798745,0.0010671249,0.00094566145
0,0.99764335,0.0012009827,0.0011554591
