predicted_label,None,Positive,Negative
0,0.774581,0.17574058,0.04967829
0,0.51088995,0.39695647,0.092153594
1,0.3400932,0.53109026,0.12881649
0,0.9042658,0.06747134,0.028262954
0,0.9145523,0.062446747,0.02300093
0,0.91392434,0.058007594,0.028068267
0,0.91581297,0.059353594,0.024833508
0,0.91927046,0.055036876,0.025692645
0,0.74233854,0.21606174,0.041599687
0,0.9093536,0.06677512,0.023871345
0,0.8950559,0.077476345,0.027467811
0,0.915168,0.057392642,0.027439365
0,0.91521555,0.05773764,0.027046889
0,0.9146572,0.060811765,0.024531085
0,0.9210194,0.056190033,0.02279067
0,0.9118983,0.05894934,0.02915227
0,0.5009341,0.41178742,0.08727842
0,0.8997272,0.06931605,0.030956818
0,0.91777104,0.057106744,0.025122127
0,0.9097383,0.05790913,0.032352563
0,0.8763045,0.09414902,0.029546505
0,0.8928945,0.07781288,0.029292643
0,0.9010771,0.062488135,0.03643469
0,0.9048406,0.06873881,0.026420627
0,0.90972203,0.06556803,0.024710018
0,0.91939217,0.0532332,0.027374662
0,0.92103106,0.053555783,0.025413256
0,0.91174537,0.065633856,0.02262074
0,0.9189339,0.055515606,0.025550483
0,0.9139899,0.057170447,0.028839706
0,0.87849164,0.07987398,0.041634474
0,0.90250665,0.062312555,0.035180952
0,0.8679493,0.09473779,0.03731283
0,0.8311545,0.13798891,0.030856472
0,0.90340257,0.06282572,0.033771764
0,0.9010696,0.06386257,0.035067808
0,0.90859187,0.06271269,0.028695432
0,0.7177983,0.22916478,0.0530369
0,0.91376656,0.058043618,0.028189825
0,0.92109275,0.05154974,0.027357452
0,0.8503375,0.1158723,0.03379016
1,0.38275817,0.48955354,0.12768829
0,0.91000235,0.06158468,0.0284131
0,0.91000235,0.06539347,0.024604127
0,0.9159796,0.05473797,0.02928249
0,0.9280033,0.048764277,0.02323223
0,0.9105607,0.06310264,0.026336769
0,0.9257564,0.051220447,0.023023102
0,0.9066756,0.063551016,0.029773492
0,0.91669446,0.059465915,0.02383966
0,0.92727727,0.047928113,0.02479471
0,0.89665675,0.074726455,0.02861698
1,0.20340486,0.62221646,0.17437866
0,0.8602923,0.10398888,0.03571867
0,0.57646847,0.34393942,0.079592034
0,0.69858396,0.22647676,0.074939296
0,0.89967453,0.06765792,0.032667555
0,0.9062931,0.06544117,0.028265709
0,0.91896504,0.053774983,0.027260087
0,0.89325386,0.08201567,0.024730405
0,0.9089572,0.06171724,0.029325668
0,0.7076013,0.23870221,0.053696483
0,0.91970515,0.055993974,0.024300665
0,0.8955896,0.07715542,0.02725503
0,0.71891564,0.21049948,0.07058491
0,0.91294956,0.058642138,0.028408442
0,0.9201395,0.05731689,0.02254362
0,0.9139862,0.05701474,0.02899901
0,0.9080944,0.061139554,0.030766131
0,0.90871876,0.06147157,0.029809719
0,0.8698071,0.0976242,0.032568682
0,0.850762,0.11557306,0.03366506
0,0.9151735,0.05668858,0.028137904
0,0.7885111,0.16712472,0.04436422
0,0.9082941,0.06317219,0.028533813
0,0.91587836,0.058330785,0.02579094
0,0.5354176,0.37740308,0.087179095
0,0.90105444,0.06772601,0.031219572
0,0.8958767,0.07442,0.029703243
0,0.9016499,0.07295307,0.025397137
0,0.6085025,0.33132944,0.060168117
0,0.9279487,0.04826783,0.023783403
0,0.92769396,0.048833773,0.023472248
0,0.84211785,0.11847193,0.03941024
0,0.84357363,0.12221818,0.03420825
0,0.90402323,0.062362555,0.033614237
0,0.7165436,0.23360083,0.049855508
0,0.68504286,0.2525995,0.06235768
0,0.92450994,0.054833844,0.020656269
0,0.9023619,0.06771953,0.029918548
0,0.91758597,0.055309124,0.027104994
0,0.89699405,0.07261584,0.03039027
0,0.7708373,0.18457241,0.044590294
0,0.9210305,0.053898808,0.02507055
0,0.9148458,0.055533078,0.029621111
0,0.8622519,0.10859455,0.02915359
0,0.8736595,0.09305375,0.03328686
0,0.9204418,0.05685937,0.02269891
0,0.8779182,0.09327858,0.028803365
0,0.9022273,0.06982487,0.027947959
0,0.9089125,0.062211584,0.02887578
0,0.9220828,0.051006105,0.026911113
0,0.9159558,0.059320845,0.024723208
0,0.9094678,0.06158031,0.028951883
0,0.9144915,0.0586845,0.026823884
0,0.87811995,0.09137484,0.030505039
0,0.634509,0.30019212,0.06529895
0,0.91161704,0.061869103,0.02651383
0,0.91671455,0.058371633,0.024913829
0,0.8660339,0.103059284,0.030906891
0,0.8958825,0.06651037,0.037607137
0,0.9231842,0.05436762,0.022448098
0,0.9192142,0.055967603,0.02481826
0,0.88618374,0.07187808,0.041938234
0,0.8911633,0.06781193,0.041024733
0,0.92173374,0.0552915,0.022974862
0,0.91310424,0.0636053,0.023290507
0,0.8293193,0.1365875,0.034093138
0,0.8575463,0.10291515,0.039538544
0,0.60976195,0.3243888,0.06584927
0,0.9182758,0.058500372,0.023223735
0,0.89672726,0.07442322,0.028849583
1,0.28732342,0.53155106,0.18112554
0,0.70532775,0.23756273,0.057109606
0,0.9224693,0.051037017,0.026493622
1,0.30900583,0.55989,0.1311041
0,0.8884529,0.06977554,0.041771606
1,0.38736942,0.51307285,0.099557586
0,0.9076845,0.066882625,0.025432918
1,0.2521001,0.5624567,0.18544304
0,0.8995664,0.07421097,0.026222497
0,0.9156872,0.056432575,0.027880082
0,0.9256507,0.051952045,0.022397326
0,0.920224,0.054176513,0.02559963
0,0.920444,0.056689646,0.02286639
0,0.9166952,0.057103027,0.026201861
