predicted_label,None,Positive,Negative
0,0.98414963,0.0072248746,0.0086256005
0,0.9838765,0.0081830975,0.007940507
0,0.98586273,0.0067199664,0.007417314
0,0.9832748,0.007823591,0.008901562
0,0.9865534,0.0070034037,0.0064431406
0,0.9838432,0.009043931,0.007112809
0,0.9852001,0.007097404,0.007702375
0,0.9748256,0.016155735,0.009018709
0,0.9819263,0.009944697,0.008129007
0,0.98346555,0.008502395,0.008031992
0,0.9857248,0.008313687,0.0059614885
0,0.98423314,0.0076505025,0.0081164865
0,0.98119634,0.011483493,0.007320078
0,0.5218222,0.3801436,0.098034166
0,0.98213696,0.011073181,0.006789744
0,0.9573059,0.030280713,0.012413362
0,0.9848452,0.007007031,0.008147736
0,0.98278064,0.008740528,0.008478787
0,0.859201,0.10817021,0.03262889
0,0.984588,0.007355382,0.00805681
0,0.9163503,0.059692256,0.02395736
0,0.97484845,0.014768114,0.010383476
0,0.9860532,0.007286455,0.006660419
0,0.9837843,0.009209884,0.0070058717
0,0.98557454,0.0081279725,0.0062974477
1,0.23943418,0.5588409,0.20172493
0,0.9839426,0.008673637,0.0073837233
0,0.9849757,0.00783095,0.0071935244
0,0.98467696,0.008426845,0.006896289
0,0.98591214,0.007017417,0.007070317
1,0.39230213,0.48939112,0.11830676
0,0.98262846,0.00826428,0.009107352
0,0.9855993,0.006933677,0.007466843
0,0.9785065,0.013523574,0.007969954
0,0.98342806,0.0076193097,0.008952587
0,0.9810444,0.009272469,0.009683323
0,0.9839209,0.0075846883,0.008494473
0,0.98622966,0.006758113,0.007012189
0,0.97881436,0.012380277,0.008805381
0,0.9871156,0.0067552575,0.0061291633
0,0.98487914,0.00846188,0.006659114
0,0.9863242,0.006696678,0.006979005
0,0.9850937,0.0077431947,0.007163057
0,0.98021334,0.0121849505,0.0076017524
0,0.98401093,0.008492265,0.007496831
0,0.9850268,0.0073817195,0.0075915093
0,0.980785,0.011179805,0.008035322
0,0.9789692,0.010131128,0.0108995335
0,0.97150946,0.01828221,0.010208174
0,0.90591943,0.067312695,0.026767919
0,0.98561263,0.0069644605,0.0074228086
0,0.985648,0.008313151,0.006038846
0,0.985772,0.0071688076,0.0070591467
0,0.9843203,0.008125225,0.007554658
0,0.9154971,0.055838358,0.028664513
0,0.9872988,0.0067498935,0.005951258
0,0.98046845,0.011479426,0.008051997
0,0.9836659,0.0074748932,0.008859264
0,0.98576427,0.0066219843,0.007613862
0,0.9195219,0.054641783,0.025836235
0,0.986159,0.007276632,0.0065642297
0,0.98541325,0.007429377,0.007157451
0,0.98672414,0.006959667,0.006316232
0,0.9751212,0.01381737,0.011061392
0,0.98621875,0.006456937,0.007324408
0,0.9845281,0.0072771213,0.008194863
0,0.9863435,0.007063746,0.0065928376
0,0.98469526,0.0078416,0.007463073
0,0.9865287,0.0067145466,0.006756898
0,0.98503596,0.008256081,0.0067079864
0,0.9853146,0.0071948683,0.007490575
0,0.9844667,0.008086153,0.0074473354
0,0.98626876,0.00676357,0.006967665
0,0.8736281,0.09198748,0.03438448
0,0.97879565,0.012565425,0.00863896
0,0.7315297,0.21076329,0.057706967
0,0.98510146,0.00797566,0.006922805
0,0.9863984,0.00660745,0.006994166
0,0.971831,0.018276172,0.009892865
0,0.98029643,0.008990842,0.010712746
0,0.98510706,0.007964882,0.0069281776
0,0.98693943,0.006531458,0.0065291785
0,0.98639005,0.0072545735,0.0063554225
0,0.98649055,0.007190821,0.006318666
0,0.98487085,0.008962241,0.0061668516
0,0.98466223,0.008728736,0.006609063
0,0.98600453,0.007249269,0.0067463666
0,0.9849189,0.006945557,0.008135689
0,0.9853945,0.007052448,0.007553072
0,0.9857071,0.0078043197,0.006488462
0,0.98386884,0.0080067925,0.008124477
0,0.8815507,0.08734324,0.031105792
0,0.9847105,0.008578774,0.006710587
0,0.9848625,0.008289817,0.0068477755
0,0.98017794,0.009446227,0.010375893
0,0.9391855,0.040727068,0.020087345
0,0.98658055,0.0068162405,0.0066032647
0,0.88123995,0.08878235,0.029977717
0,0.9829058,0.009338543,0.0077556623
0,0.98324406,0.008763597,0.007992321
0,0.9855056,0.008035375,0.006458973
0,0.9834445,0.0084144855,0.008141084
0,0.9844197,0.007703561,0.007876748
0,0.9806781,0.008807052,0.010515018
0,0.9848422,0.008496708,0.00666094
0,0.98693144,0.007347786,0.0057208464
1,0.18847704,0.6087502,0.20277278
0,0.9857941,0.0070622135,0.007143533
0,0.98671263,0.006855862,0.006431347
0,0.98381686,0.008996738,0.0071861832
0,0.98507965,0.006873368,0.008047013
0,0.9849728,0.007283238,0.0077440958
0,0.9819511,0.008074117,0.009974569
0,0.97313625,0.011059815,0.015803996
0,0.9726616,0.011548065,0.015790362
0,0.9848349,0.0072774827,0.007887592
0,0.985991,0.006731537,0.0072773816
0,0.96722585,0.02182153,0.01095268
0,0.98561215,0.007704053,0.0066836695
1,0.3075014,0.55258155,0.13991691
0,0.97593766,0.014371395,0.009690954
0,0.9859885,0.007592848,0.0064187273
0,0.9852219,0.007023998,0.0077541536
0,0.9853179,0.0070666294,0.007615736
0,0.9838446,0.007524085,0.008631368
0,0.9854765,0.0075980965,0.0069255517
0,0.97200525,0.018529417,0.009465155
0,0.98514354,0.007847779,0.0070087616
0,0.98312753,0.009113051,0.007759432
0,0.9853155,0.0070528854,0.0076315203
0,0.9777781,0.013177252,0.009044772
0,0.69093496,0.22841983,0.08064519
1,0.34402093,0.50907236,0.1469067
0,0.98338705,0.00958868,0.007024109
0,0.9686005,0.020043032,0.0113564255
0,0.9729597,0.017015448,0.010024739
0,0.9696037,0.013491742,0.016904451
0,0.97881126,0.010776706,0.010412068
0,0.670078,0.2614582,0.06846388
0,0.985772,0.006840185,0.0073876465
0,0.984959,0.0070601464,0.007980968
0,0.9851496,0.006876075,0.007974207
0,0.98551774,0.00834066,0.006141424
0,0.98516196,0.0073102415,0.007527975
0,0.98251307,0.009491672,0.007995186
0,0.9851654,0.007770084,0.0070645777
0,0.9839897,0.007454,0.008556202
0,0.9847047,0.007954247,0.0073409663
0,0.97880363,0.010836104,0.010360472
